WKT,SA22020_V1_00,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,SHAPE_X,SHAPE_Y
POINT (173.8587648952005 -39.45129955469808),220700,Ōpunake,Opunake,3.77438226239,3.77438226239,-39.451299555076574,173.85876489556716,1673887.7988311527,5632788.411657703,1673887.7988,5632788.4117
POINT (174.16286381223293 -39.42232943739753),220800,Kaponga-Mangatoki,Kaponga-Mangatoki,172.810925037,172.810925037,-39.42232943758713,174.16286381239834,1700094.417813966,5635710.281178779,1700094.4178,5635710.2812
POINT (174.12380101186076 -39.51777779771017),220900,Manaia-Kapuni,Manaia-Kapuni,109.36338112,109.36338112,-39.51777779757038,174.12380101220398,1696599.875329698,5625159.635815154,1696599.8753,5625159.6358
POINT (174.2990213518759 -39.43109228962417),221000,Eltham,Eltham,3.41945619746,3.41945619746,-39.43109228924918,174.2990213515814,1711800.6516752527,5634577.813441985,1711800.6517,5634577.8134
POINT (174.21761014233903 -39.53751584960471),221100,Okaiawa,Okaiawa,102.138166702,102.138166702,-39.53751584983364,174.21761014227988,1704634.1269945723,5622864.130174666,1704634.127,5622864.1302
POINT (174.49345722730482 -39.43904958067198),221200,Te Roti-Moeroa,Te Roti-Moeroa,361.949784692,361.949784692,-39.43904958110657,174.49345722744263,1728520.8987110606,5633435.586051558,1728520.8987,5633435.5861
POINT (174.2631276545488 -39.57613816043089),221300,Egmont Showgrounds,Egmont Showgrounds,4.38109404133,4.38109404133,-39.57613816036079,174.26312765419985,1708485.556970137,5618523.645808204,1708485.557,5618523.6458
POINT (174.3113999657839 -39.581911825923584),221400,Normanby-Tawhiti,Normanby-Tawhiti,49.4756642138,49.4756642138,-39.5819118256278,174.31139996579307,1712622.283501268,5617823.484032818,1712622.2835,5617823.484
POINT (174.44896295192262 -39.53843354145079),221500,Ohangai,Ohangai,331.777886167,331.777886167,-39.538433541492346,174.44896295244493,1724514.3104448118,5622467.704894657,1724514.3104,5622467.7049
POINT (174.28522316583684 -39.57449506765139),221600,Turuturu,Turuturu,4.32781738524,4.32781738524,-39.57449506777734,174.28522316620686,1710385.9288315815,5618679.115885569,1710385.9288,5618679.1159
POINT (174.27683194856763 -39.582159423900016),221700,King Edward Park,King Edward Park,1.08208134327,1.08208134327,-39.58215942390992,174.27683194825727,1709653.1167733315,5617838.736899283,1709653.1168,5617838.7369
POINT (174.274772056175 -39.60612068040184),221800,Ramanui,Ramanui,13.6078184111,13.6078184111,-39.60612068024444,174.2747720557791,1709438.492266258,5615181.843817955,1709438.4923,5615181.8438
POINT (174.28314512200052 -39.59042248896047),221900,Hawera Central,Hawera Central,1.7842896011,1.7842896011,-39.59042248869202,174.28314512249605,1710182.2132429758,5616913.92022919,1710182.2132,5616913.9202
POINT (174.7455615870023 -39.610678793350665),222000,Mangawhio,Mangawhio,1368.62597983,1368.62597983,-39.61067879301604,174.7455615874446,1749847.738338692,5613996.603036338,1749847.7383,5613996.603
POINT (174.56895120254276 -39.76274067716719),222100,Manutahi-Waitotora,Manutahi-Waitotora,293.179237132,293.179237132,-39.76274067693778,174.568951202395,1734390.6531877886,5597398.639325662,1734390.6532,5597398.6393
POINT (174.47042119625448 -39.7541788437105),222200,Pātea,Patea,6.15358791936,6.15358791936,-39.75417884354295,174.47042119569537,1725966.1798524074,5598492.154319373,1725966.1799,5598492.1543
POINT (175.17136420115216 -38.79311400391902),222300,Otangiwai-Ohura,Otangiwai-Ohura,2011.69941608,2011.69941608,-38.79311400431633,175.17136420097626,1788578.358283658,5703942.050755847,1788578.3583,5703942.0508
POINT (175.386906278597 -38.8752662497953),222400,Ngapuke,Ngapuke,621.831554412,621.831554412,-38.87526624947608,175.3869062791036,1807061.6432448456,5694357.26003337,1807061.6432,5694357.26
POINT (175.25203306992333 -38.86670271182019),222500,Taumarunui North,Taumarunui North,3.59908257445,3.59908257445,-38.86670271172459,175.25203306979176,1795383.6592888234,5695605.173610327,1795383.6593,5695605.1736
POINT (175.2643660477088 -38.88792030564967),222600,Taumarunui Central,Taumarunui Central,5.53738136496,5.53738136496,-38.88792030590957,175.26436604795504,1796395.3284206206,5693223.810070029,1796395.3284,5693223.8101
POINT (175.31379571845548 -38.888521540445005),222700,Taumarunui East,Taumarunui East,4.51828494162,4.51828494162,-38.888521540405335,175.31379571836098,1800681.313791887,5693049.479603903,1800681.3138,5693049.4796
POINT (175.37193320649686 -39.11630293760254),222800,National Park,National Park,1375.28522032,1375.28522032,-39.1163029372533,175.37193320635572,1805065.2642887773,5667638.240638214,1805065.2643,5667638.2406
POINT (175.42753096792697 -39.39016250887968),222900,Tangiwai,Tangiwai,2696.63054077,2696.63054077,-39.39016250897838,175.42753096750977,1809057.1500637364,5637113.831288964,1809057.1501,5637113.8313
POINT (175.2760402185693 -39.42926306512678),223000,Raetihi,Raetihi,3.86337707231,3.86337707231,-39.42926306488616,175.2760402189042,1795899.975629479,5633113.88112536,1795899.9756,5633113.8811
